phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,86,9,44032,57,29184,d5:r86:peven:b1,d5:r101:peven:b2,Q_K:T0,Q_K:T0,1737,1725,10,10,0,10,2,0,1725,12,0.993091537133,0.006908462867,yes,yes,yes,yes,yes,yes
calibration,5,86,10,88064,57,58368,d5:r86:peven:b1,d5:r101:peven:b2,Q_K:T0,Q_K:T0,3341,3328,11,11,0,11,2,0,3328,13,0.996108949416,0.003891050584,yes,yes,yes,yes,yes,yes
calibration,5,89,8,22784,59,15104,d5:r89:podd:b0,d5:r113:peven:b2,visible,d4:r59:podd:b0,910,123,785,542,542,0,2,243,665,245,0.730769230769,0.269230769231,yes,yes,yes,yes,yes,yes
calibration,5,89,9,45568,59,30208,d5:r89:podd:b0,d5:r113:peven:b2,visible,d4:r59:podd:b0,1908,235,1671,1010,1010,0,2,661,1245,663,0.652515723270,0.347484276730,yes,yes,yes,yes,yes,yes
calibration,5,89,10,91136,59,60416,d5:r89:podd:b0,d5:r113:peven:b2,visible,d4:r59:podd:b0,4371,1215,3154,2166,2166,0,2,988,3381,990,0.773507206589,0.226492793411,yes,yes,yes,yes,yes,yes
calibration,5,92,8,23552,61,15616,d5:r92:peven:b2,d5:r125:peven:b2,Q_K:T0,Q_K:T0,6612,422,6188,4092,0,4092,2,2096,422,6190,0.063823351482,0.936176648518,yes,yes,yes,yes,yes,yes
calibration,5,92,9,47104,61,31232,d5:r92:peven:b2,d5:r125:peven:b2,Q_K:T0,Q_K:T0,12889,744,12143,8162,0,8162,2,3981,744,12145,0.057723640313,0.942276359687,yes,yes,yes,yes,yes,yes
calibration,5,92,10,94208,61,62464,d5:r92:peven:b2,d5:r125:peven:b2,Q_K:T0,Q_K:T0,25117,1444,23671,15759,0,15759,2,7912,1444,23673,0.057490942390,0.942509057610,yes,yes,yes,yes,yes,yes
calibration,5,95,8,24320,63,16128,d5:r95:podd:b0,d5:r137:peven:b2,Q_K:T0,Q_K:T0,650,639,9,9,0,9,2,0,639,11,0.983076923077,0.016923076923,yes,yes,yes,yes,yes,yes
calibration,5,95,9,48640,63,32256,d5:r95:podd:b0,d5:r137:peven:b2,Q_K:T0,Q_K:T0,1271,1259,10,10,0,10,2,0,1259,12,0.990558615264,0.009441384736,yes,yes,yes,yes,yes,yes
calibration,5,95,10,97280,63,64512,d5:r95:podd:b0,d5:r137:peven:b2,Q_K:T0,Q_K:T0,3005,2992,11,11,0,11,2,0,2992,13,0.995673876872,0.004326123128,yes,yes,yes,yes,yes,yes
calibration,5,98,8,25088,65,16640,d5:r98:peven:b1,d5:r149:peven:b2,visible,d4:r65:podd:b0,1934,58,1874,1017,1017,0,2,857,1075,859,0.555842812823,0.444157187177,yes,yes,yes,yes,yes,yes
calibration,5,98,9,50176,65,33280,d5:r98:peven:b1,d5:r149:peven:b2,visible,d4:r65:podd:b0,3895,97,3796,2589,2589,0,2,1207,2686,1209,0.689602053915,0.310397946085,yes,yes,yes,yes,yes,yes
calibration,5,98,10,100352,65,66560,d5:r98:peven:b1,d5:r149:peven:b2,visible,d4:r65:podd:b0,7841,192,7647,5192,5192,0,2,2455,5384,2457,0.686647111338,0.313352888662,yes,yes,yes,yes,yes,yes
calibration,5,101,8,25856,67,17152,d5:r101:podd:b0,d5:r161:peven:b2,Q_K:T0,Q_K:T0,1805,759,1044,748,0,748,2,296,759,1046,0.420498614958,0.579501385042,yes,yes,yes,yes,yes,yes
calibration,5,101,9,51712,67,34304,d5:r101:podd:b0,d5:r161:peven:b2,Q_K:T0,Q_K:T0,4103,1526,2575,1368,0,1368,2,1207,1526,2577,0.371922983183,0.628077016817,yes,yes,yes,yes,yes,yes
calibration,5,101,10,103424,67,68608,d5:r101:podd:b0,d5:r161:peven:b2,Q_K:T0,Q_K:T0,7991,2953,5036,3444,0,3444,2,1592,2953,5038,0.369540733325,0.630459266675,yes,yes,yes,yes,yes,yes
