mode,value,lift_indices,lift_slacks
833,144814911/50000000,277;19960;39643,0;1683131/25000000;4063269/25000000
836,273739603/20000000,278;19961;39644,3944617/1000000;0;4176411/1562500
839,389396577/100000000,279;19962;39645,0;8379803/100000000;10141453/100000000
842,4252773/1562500,280;19963;39646,3299881/25000000;0;3795973/25000000
845,155304783/50000000,281;19964;39647,3550367/10000000;0;22232013/100000000
848,423748507/100000000,282;19965;39648,0;4565179/25000000;14191623/100000000
851,2229907/1000000,283;19966;39649,96009/6250000;0;2256379/100000000
854,210923031/20000000,284;19967;39650,104905067/100000000;25740129/100000000;0
857,584654737/100000000,285;19968;39651,0;7003111/20000000;898521/25000000
860,6266891/3125000,286;19969;39652,7439149/50000000;1919931/5000000;0
863,49933811/10000000,287;19970;39653,9396337/25000000;0;3260883/50000000
866,110738317/6250000,288;19971;39654,152357303/25000000;0;159250791/100000000
869,347601/160000,289;19972;39655,0;5121379/100000000;168043/10000000
872,714535887/100000000,290;19973;39656,128330211/100000000;73906763/100000000;0
875,35531799/10000000,291;19974;39657,5952253/100000000;891659/50000000;0
878,110044063/50000000,292;19975;39658,1025363/25000000;0;313401/6250000
881,209368133/12500000,293;19976;39659,220783/6250000;0;70120379/25000000
884,968731357/100000000,294;19977;39660,40591423/100000000;24468981/50000000;0
887,9111019/6250000,295;19978;39661,0;1978607/25000000;3229061/50000000
890,3685468511/100000000,296;19979;39662,84546213/20000000;0;1352059013/100000000
893,2244363/390625,297;19980;39663,0;44435601/100000000;67567699/100000000
896,389631609/100000000,298;19981;39664,3236629/50000000;4416999/12500000;0
899,1356088/390625,299;19982;39665,0;2399/156250;35905253/100000000
902,106894799/25000000,300;19983;39666,7138509/20000000;11061611/100000000;0
905,204696361/100000000,301;19984;39667,1605503/25000000;0;235277/25000000
908,54661159/6250000,302;19985;39668,406133/6250000;0;126474977/100000000
911,2376152933/100000000,303;19986;39669,15076143/3125000;13315479/25000000;0
914,162957917/100000000,304;19987;39670,6637629/50000000;23992537/100000000;0
917,1921333649/100000000,305;19988;39671,15667307/100000000;0;348358253/100000000
920,112695353/25000000,306;19989;39672,57807083/100000000;1121307/50000000;0
923,111337029/50000000,307;19990;39673,807957/20000000;4258467/25000000;0
926,177949853/50000000,308;19991;39674,1526843/50000000;0;2105607/50000000
929,217037549/50000000,309;19992;39675,2612919/25000000;0;11768051/100000000
932,160068941/100000000,310;19993;39676,19739/100000000;0;375659/20000000
935,688968609/50000000,311;19994;39677,64221967/100000000;175982023/100000000;0
938,51137757/6250000,312;19995;39678,0;91558521/100000000;1761791/20000000
941,29913577/25000000,313;19996;39679,1607781/50000000;0;60377/4000000
944,100330009/12500000,314;19997;39680,2881841/6250000;0;3046403/6250000
947,146310159/20000000,315;19998;39681,8910903/12500000;0;20273397/100000000
950,311856741/100000000,316;19999;39682,24319401/100000000;0;11493007/100000000
953,311318951/100000000,317;20000;39683,6135339/50000000;493919/25000000;0
956,326736257/50000000,318;20001;39684,11334763/100000000;0;1247943/3125000
959,31843893/25000000,319;20002;39685,0;3592719/50000000;9344279/50000000
962,824025207/50000000,320;20003;39686,0;20253017/25000000;27940651/20000000
965,866060087/100000000,321;20004;39687,31015363/50000000;0;19424601/50000000
968,136282221/100000000,322;20005;39688,9949401/100000000;0;2430499/50000000
971,1805339443/100000000,323;20006;39689,4362203/6250000;0;14928047/25000000
974,32446749/4000000,324;20007;39690,0;45426311/100000000;12822419/50000000
977,206814463/50000000,325;20008;39691,0;32803443/50000000;1682041/10000000
980,666540859/100000000,326;20009;39692,189276773/100000000;136087863/100000000;0
983,65424097/12500000,327;20010;39693,682139/50000000;0;19021949/50000000
986,272675317/100000000,328;20011;39694,0;11414547/25000000;7296157/50000000
989,932026097/100000000,329;20012;39695,0;31219009/50000000;132414823/100000000
992,166468039/10000000,330;20013;39696,30665603/25000000;0;5515673/6250000
995,153550447/100000000,331;20014;39697,0;535159/50000000;18844853/100000000
998,29446029/3125000,332;20015;39698,139426813/100000000;0;41857537/20000000
1001,490267107/100000000,333;20016;39699,91236191/100000000;56153091/100000000;0
1004,36559599/12500000,334;20017;39700,0;2348939/50000000;37935159/100000000
1007,117748041/50000000,335;20018;39701,0;26487571/100000000;7489173/50000000
1010,53039737/5000000,336;20019;39702,84417073/100000000;0;260208957/100000000
1013,269092033/100000000,337;20020;39703,0;16039887/100000000;1665143/10000000
1016,695448579/100000000,338;20021;39704,0;35348513/100000000;30624983/50000000
1019,178994081/25000000,339;20022;39705,0;51946511/100000000;10567987/100000000
1022,196222969/100000000,340;20023;39706,1768277/25000000;3136301/20000000;0
1025,735883909/100000000,341;20024;39707,3618287/6250000;174627633/100000000;0
1028,526608497/50000000,342;20025;39708,3502129/12500000;0;17528553/50000000
1031,199972667/50000000,343;20026;39709,0;69423/1562500;29700399/100000000
1034,424337547/100000000,344;20027;39710,0;68420447/100000000;30365009/100000000
1037,641148197/100000000,345;20028;39711,3461913/50000000;0;45110397/50000000
1040,1296313/800000,346;20029;39712,0;12166237/100000000;1515627/50000000
1043,1629341283/100000000,347;20030;39713,100167/400000;5470731/5000000;0
1046,602370929/100000000,348;20031;39714,3504013/10000000;39885351/100000000;0
1049,225803277/100000000,349;20032;39715,19130153/50000000;0;14872867/100000000
1052,843988003/100000000,350;20033;39716,0;119770779/100000000;850751/1562500
1055,21458191/4000000,351;20034;39717,16407599/50000000;0;38013527/100000000
1058,181327943/50000000,352;20035;39718,25686213/50000000;0;62103763/100000000
1061,86340333/20000000,353;20036;39719,248191/625000;0;10550703/100000000
1064,760418197/100000000,354;20037;39720,1445977/12500000;0;32722067/25000000
1067,518775483/100000000,355;20038;39721,49454667/100000000;66149917/50000000;0
1070,185885249/25000000,356;20039;39722,66642367/100000000;0;59985407/100000000
1073,1216516221/100000000,357;20040;39723,34505201/50000000;0;15398483/20000000
1076,6710521/3125000,358;20041;39724,42235641/100000000;0;8462433/50000000
1079,3109421231/100000000,359;20042;39725,0;585952229/100000000;428211837/100000000
1082,454659179/100000000,360;20043;39726,26745723/100000000;0;6015403/25000000
1085,104088671/25000000,361;20044;39727,2930939/50000000;0;74531561/100000000
1088,333683979/100000000,362;20045;39728,3503077/50000000;17003727/100000000;0
1091,57708003/10000000,363;20046;39729,1776807/6250000;25538253/50000000;0
1094,237245613/100000000,364;20047;39730,0;37114627/100000000;5666041/12500000
1097,1185319489/100000000,365;20048;39731,0;26706593/50000000;280197839/100000000
1100,386582611/50000000,366;20049;39732,922029/20000000;0;19097929/100000000
1103,59329081/25000000,367;20050;39733,8098267/20000000;0;276557/10000000
1106,356850931/50000000,368;20051;39734,3364889/100000000;1156739/10000000;0
1109,27141179/3125000,369;20052;39735,0;7468067/20000000;4210201/10000000
1112,247966941/100000000,370;20053;39736,26551849/100000000;0;22034473/100000000
1115,40452683/10000000,371;20054;39737,704551/4000000;0;69408771/100000000
1118,166030783/50000000,372;20055;39738,959543/12500000;0;70427/20000000
1121,1106317/781250,373;20056;39739,13017837/100000000;0;4384963/100000000
1124,1433847089/100000000,374;20057;39740,0;122295947/100000000;4969147/12500000
1127,13482607/1562500,375;20058;39741,6700287/50000000;3472879/25000000;0
1130,124357439/100000000,376;20059;39742,0;6194831/50000000;1201597/100000000
