mode,value,lift_indices,lift_slacks
55871,84550983/12500000,18623;38306;57989,69233667/100000000;0;76341/125000
55874,78703921/20000000,18624;38307;57990,0;69102031/100000000;3711769/12500000
55877,68856947/50000000,18625;38308;57991,237877/5000000;0;2955867/100000000
55880,1335704219/100000000,18626;38309;57992,279805883/100000000;13229973/100000000;0
55883,1120076111/100000000,18627;38310;57993,10470093/10000000;0;26337047/25000000
55886,43144203/25000000,18628;38311;57994,0;78299/1250000;5929677/100000000
55889,1025757963/100000000,18629;38312;57995,9846719/25000000;96258401/50000000;0
55892,826428293/100000000,18630;38313;57996,0;1453829/6250000;24268277/20000000
55895,530033611/100000000,18631;38314;57997,66837079/100000000;51010027/100000000;0
55898,256659083/50000000,18632;38315;57998,0;1017751/4000000;4905113/10000000
55901,87854613/25000000,18633;38316;57999,0;2043939/25000000;2102843/6250000
55904,29906357/10000000,18634;38317;58000,18539629/100000000;0;24094761/100000000
55907,79092689/10000000,18635;38318;58001,0;213657709/100000000;153892711/100000000
55910,1182089759/100000000,18636;38319;58002,7220529/25000000;110695003/100000000;0
55913,132898699/100000000,18637;38320;58003,0;13051027/50000000;532039/5000000
55916,589730741/50000000,18638;38321;58004,18223423/25000000;0;33514689/20000000
55919,95752793/20000000,18639;38322;58005,37022443/100000000;0;7596933/20000000
55922,284356909/100000000,18640;38323;58006,1187113/20000000;2339887/6250000;0
55925,457803917/100000000,18641;38324;58007,3386561/6250000;0;51720089/50000000
55928,63717133/10000000,18642;38325;58008,0;50689849/100000000;100162247/100000000
55931,18063647/5000000,18643;38326;58009,0;17772801/50000000;355337/3125000
55934,694597143/100000000,18644;38327;58010,0;31548807/50000000;41320857/50000000
55937,165362379/20000000,18645;38328;58011,26862693/25000000;20515291/100000000;0
55940,18753313/10000000,18646;38329;58012,496019/5000000;0;7298543/25000000
55943,467655907/100000000,18647;38330;58013,14144181/50000000;74949453/100000000;0
55946,270225253/25000000,18648;38331;58014,21486901/25000000;136582761/50000000;0
55949,21251299/5000000,18649;38332;58015,37883189/100000000;36532439/50000000;0
55952,57339693/12500000,18650;38333;58016,5967341/100000000;1332101/25000000;0
55955,73846023/10000000,18651;38334;58017,47240511/50000000;0;8609597/12500000
55958,187680789/100000000,18652;38335;58018,0;15003/1250000;589673/12500000
55961,101263651/10000000,18653;38336;58019,19232407/25000000;2490649/12500000;0
55964,80670603/12500000,18654;38337;58020,113289151/100000000;7046697/100000000;0
55967,9840941/6250000,18655;38338;58021,0;2227799/100000000;10837993/100000000
55970,46209683/4000000,18656;38339;58022,122001267/50000000;134175581/50000000;0
55973,622791011/100000000,18657;38340;58023,0;29208087/50000000;11600911/20000000
55976,59446521/20000000,18658;38341;58024,8136679/100000000;3015271/50000000;0
55979,195775961/50000000,18659;38342;58025,0;55818849/100000000;36999543/100000000
55982,108463763/25000000,18660;38343;58026,89467/250000;2578329/25000000;0
55985,39072491/10000000,18661;38344;58027,0;11833707/20000000;113128/390625
55988,70599003/12500000,18662;38345;58028,0;6161333/50000000;19299419/50000000
55991,1282261409/100000000,18663;38346;58029,0;11689463/50000000;21385531/12500000
55994,37795049/25000000,18664;38347;58030,0;625659/6250000;63501/1000000
55997,1143115121/50000000,18665;38348;58031,126913813/50000000;679912083/100000000;0
56000,638209021/100000000,18666;38349;58032,1953/78125;0;17361169/100000000
56003,110689929/50000000,18667;38350;58033,0;15141477/100000000;1317101/100000000
56006,15604597/5000000,18668;38351;58034,0;6218531/25000000;28326413/100000000
56009,572799147/100000000,18669;38352;58035,0;1002227/2500000;2388187/6250000
56012,81330713/25000000,18670;38353;58036,0;849209/4000000;123491/10000000
56015,1086748843/100000000,18671;38354;58037,39381767/50000000;0;9721027/20000000
56018,9558581/1250000,18672;38355;58038,0;22004547/100000000;55075987/100000000
56021,298659183/100000000,18673;38356;58039,10372189/25000000;0;24082931/100000000
56024,670159289/100000000,18674;38357;58040,39863287/100000000;0;32099093/100000000
56027,190792039/20000000,18675;38358;58041,0;51041747/100000000;21167029/50000000
56030,113700087/50000000,18676;38359;58042,17340103/100000000;0;40234009/100000000
56033,86335551/25000000,18677;38360;58043,22760719/100000000;0;27584103/100000000
56036,127003503/25000000,18678;38361;58044,105333/1000000;6500541/25000000;0
56039,125914117/100000000,18679;38362;58045,0;3075177/100000000;2136231/25000000
56042,2624834883/100000000,18680;38363;58046,0;127334243/25000000;22866229/100000000
56045,258820841/25000000,18681;38364;58047,95413197/100000000;0;64566027/100000000
56048,125419981/100000000,18682;38365;58048,0;338811/12500000;1378081/20000000
56051,1682603813/100000000,18683;38366;58049,411103219/100000000;0;110938179/100000000
56054,244802957/25000000,18684;38367;58050,7121919/12500000;0;84842689/50000000
56057,546715043/100000000,18685;38368;58051,0;639083/3125000;2425769/12500000
56060,48508949/12500000,18686;38369;58052,1907943/100000000;0;14803369/100000000
56063,438287367/100000000,18687;38370;58053,0;26193261/100000000;267339/1000000
56066,179112509/100000000,18688;38371;58054,1911413/100000000;118313/10000000;0
56069,667167367/100000000,18689;38372;58055,19826181/100000000;677191/12500000;0
56072,806690143/50000000,18690;38373;58056,0;54718987/10000000;200266441/100000000
56075,130305263/100000000,18691;38374;58057,587161/20000000;0;15602369/100000000
56078,2148393841/100000000,18692;38375;58058,447932863/100000000;23216823/20000000;0
56081,639035503/100000000,18693;38376;58059,16033149/100000000;0;4720249/12500000
56084,237923421/100000000,18694;38377;58060,0;5058889/25000000;7824931/20000000
56087,150671441/50000000,18695;38378;58061,46633827/100000000;0;32238121/100000000
56090,203444211/50000000,18696;38379;58062,4521183/20000000;0;6436747/100000000
56093,16727031/10000000,18697;38380;58063,0;10227/500000;1843599/50000000
56096,242764477/20000000,18698;38381;58064,178182623/100000000;37521291/100000000;0
56099,54951491/5000000,18699;38382;58065,0;51726123/50000000;13519253/20000000
56102,50367493/25000000,18700;38383;58066,11559963/50000000;822801/12500000;0
56105,153224221/25000000,18701;38384;58067,83130043/100000000;0;42925021/100000000
56108,158642897/25000000,18702;38385;58068,0;40673997/50000000;129453381/100000000
56111,192054841/50000000,18703;38386;58069,32467253/100000000;66207203/100000000;0
56114,29636267/10000000,18704;38387;58070,6768407/50000000;0;157357/1562500
56117,83010307/20000000,18705;38388;58071,12630823/50000000;0;4863299/20000000
56120,2855969/1562500,18706;38389;58072,0;5655797/20000000;2277587/20000000
56123,86932257/6250000,18707;38390;58073,0;49888771/50000000;100578087/100000000
56126,1008238189/100000000,18708;38391;58074,34752271/20000000;10055071/20000000;0
56129,17279481/12500000,18709;38392;58075,21487547/100000000;0;2556993/50000000
56132,2363618491/50000000,18710;38393;58076,0;598117391/100000000;31883133/3125000
56135,977435947/100000000,18711;38394;58077,0;130522297/100000000;11121151/25000000
56138,68336753/25000000,18712;38395;58078,0;1791703/6250000;4103897/12500000
56141,921949103/100000000,18713;38396;58079,16449189/12500000;228601717/100000000;0
56144,519361331/100000000,18714;38397;58080,0;12891371/25000000;5476903/6250000
56147,197007291/100000000,18715;38398;58081,0;1115257/12500000;177631/800000
56150,635559297/100000000,18716;38399;58082,0;5848473/100000000;30746619/50000000
56153,1028856977/100000000,18717;38400;58083,6568699/20000000;0;183703353/100000000
56156,48750341/25000000,18718;38401;58084,2813721/10000000;7426657/50000000;0
56159,1023826961/100000000,18719;38402;58085,0;17971497/50000000;83439837/100000000
56162,418922961/50000000,18720;38403;58086,42077157/50000000;1015087/400000;0
56165,197664189/100000000,18721;38404;58087,0;4920521/50000000;19252223/100000000
56168,282392211/100000000,18722;38405;58088,9467/156250;0;13307201/100000000
56171,373281231/50000000,18723;38406;58089,42186641/100000000;0;121093747/100000000
56174,56693703/25000000,18724;38407;58090,0;10569327/50000000;10606779/100000000
56177,250509679/25000000,18725;38408;58091,206661337/100000000;0;22598777/100000000
56180,98026201/12500000,18726;38409;58092,137239463/100000000;0;27791783/100000000
56183,1183057/800000,18727;38410;58093,1372341/4000000;0;14218457/100000000
56186,103817629/25000000,18728;38411;58094,3949433/50000000;332999/2500000;0
56189,16256147/2500000,18729;38412;58095,12802533/50000000;110650131/100000000;0
56192,354542779/100000000,18730;38413;58096,1900233/100000000;0;1226641/6250000
56195,221609093/50000000,18731;38414;58097,56361321/100000000;0;5163053/10000000
56198,124524761/25000000,18732;38415;58098,0;138513/1000000;37743021/100000000
56201,32432787/25000000,18733;38416;58099,4327301/50000000;0;71257/800000
56204,650122841/50000000,18734;38417;58100,3622531/4000000;0;23694461/100000000
56207,654888457/100000000,18735;38418;58101,0;96786949/100000000;26621221/25000000
56210,208097301/100000000,18736;38419;58102,1536379/25000000;4380193/50000000;0
56213,11311603/1250000,18737;38420;58103,58773457/50000000;17174401/25000000;0
56216,483596809/100000000,18738;38421;58104,0;40253/25000000;12400881/50000000
56219,175042481/50000000,18739;38422;58105,6610243/20000000;62311053/100000000;0
56222,324821411/50000000,18740;38423;58106,16980637/12500000;40319127/100000000;0
56225,438932583/100000000,18741;38424;58107,0;75567/6250000;18401989/100000000
56228,359112317/100000000,18742;38425;58108,0;3385393/100000000;19875301/100000000
56231,733277/78125,18743;38426;58109,89345971/100000000;18163061/25000000;0
56234,460304279/50000000,18744;38427;58110,0;1265041/100000000;58427943/50000000
56237,154150587/100000000,18745;38428;58111,0;536777/100000000;15674903/100000000
56240,425891603/25000000,18746;38429;58112,2811699/12500000;0;302308037/100000000
56243,459550891/100000000,18747;38430;58113,33975013/100000000;0;591779/4000000
56246,347274543/100000000,18748;38431;58114,1494787/4000000;853051/1250000;0
56249,309117851/100000000,18749;38432;58115,24927/25000000;29392729/100000000;0
56252,425069797/100000000,18750;38433;58116,0;18344119/100000000;70697627/100000000
56255,43650449/12500000,18751;38434;58117,314151/390625;1890763/20000000;0
56258,46751511/6250000,18752;38435;58118,77575651/100000000;274593/1562500;0
56261,2296873/400000,18753;38436;58119,411131/100000000;10436391/50000000;0
56264,293983679/100000000,18754;38437;58120,1945109/20000000;0;733731/25000000
56267,184779779/25000000,18755;38438;58121,0;1351353/100000000;5780587/5000000
56270,260644549/12500000,18756;38439;58122,90382733/25000000;0;21274711/100000000
56273,213586389/100000000,18757;38440;58123,0;4918581/25000000;356713/2500000
56276,258566469/50000000,18758;38441;58124,0;213137/20000000;2722653/12500000
56279,425065903/100000000,18759;38442;58125,0;5183881/20000000;20487793/50000000
56282,68492221/50000000,18760;38443;58126,2070263/100000000;972961/50000000;0
56285,1557355167/100000000,18761;38444;58127,6032349/12500000;32614281/25000000;0
56288,269364651/25000000,18762;38445;58128,101009317/100000000;27319913/100000000;0
56291,108807453/100000000,18763;38446;58129,43373/12500000;297737/6250000;0
56294,2554977989/100000000,18764;38447;58130,0;571641707/100000000;109144181/100000000
56297,32307901/5000000,18765;38448;58131,9546587/25000000;17016871/50000000;0
56300,564276317/100000000,18766;38449;58132,55254163/100000000;14743711/100000000;0
56303,5837069/1250000,18767;38450;58133,0;6746307/100000000;3849951/25000000
56306,249695533/50000000,18768;38451;58134,0;4470061/25000000;30372213/50000000
56309,333089613/100000000,18769;38452;58135,59543911/100000000;0;3740173/50000000
56312,34611059/4000000,18770;38453;58136,0;8280439/20000000;14886079/100000000
56315,563641723/20000000,18771;38454;58137,480783927/100000000;0;34357041/100000000
56318,146962081/100000000,18772;38455;58138,963021/100000000;1283877/25000000;0
56321,778827637/50000000,18773;38456;58139,0;60248959/50000000;57692887/25000000
56324,394683253/100000000,18774;38457;58140,0;5588681/20000000;12427101/100000000
56327,115287797/50000000,18775;38458;58141,0;24564749/100000000;1221233/10000000
56330,81457443/20000000,18776;38459;58142,0;18145251/100000000;5660259/100000000
56333,236878107/50000000,18777;38460;58143,0;1960299/25000000;570611/1562500
56336,39684583/25000000,18778;38461;58144,8503521/50000000;29979/156250;0
56339,822392687/50000000,18779;38462;58145,47862443/100000000;0;116271633/100000000
56342,681640467/100000000,18780;38463;58146,16969701/20000000;0;11087641/25000000
56345,38121189/25000000,18781;38464;58147,261643/12500000;17364431/100000000;0
56348,89679331/10000000,18782;38465;58148,0;10212463/25000000;40171161/50000000
56351,765781389/100000000,18783;38466;58149,4416871/20000000;0;424363/4000000
56354,395413147/100000000,18784;38467;58150,0;12198347/100000000;2464943/25000000
56357,485647591/100000000,18785;38468;58151,40052073/100000000;0;89264327/100000000
56360,49300033/12500000,18786;38469;58152,6898171/25000000;11463207/50000000;0
56363,21139569/12500000,18787;38470;58153,27651409/100000000;2237619/25000000;0
56366,1095297197/100000000,18788;38471;58154,39306061/100000000;0;10889173/25000000
56369,1479115113/100000000,18789;38472;58155,54205129/100000000;0;327527859/100000000
56372,26148291/12500000,18790;38473;58156,274377/2500000;0;1486639/10000000
56375,1906594923/100000000,18791;38474;58157,11726161/6250000;0;89584783/100000000
56378,404375611/50000000,18792;38475;58158,0;48915051/100000000;9353283/25000000
56381,141597797/25000000,18793;38476;58159,49330493/50000000;0;4828441/50000000
56384,100758799/6250000,18794;38477;58160,1296897/100000000;74920187/20000000;0
56387,90731233/20000000,18795;38478;58161,0;8225601/50000000;62816573/100000000
56390,66798789/25000000,18796;38479;58162,1390373/25000000;731021/3125000;0
56393,218729419/20000000,18797;38480;58163,5626121/3125000;0;5938313/100000000
56396,1502628593/100000000,18798;38481;58164,70503303/20000000;39868593/12500000;0
56399,5444763/4000000,18799;38482;58165,1300703/20000000;0;488107/100000000
56402,93983109/6250000,18800;38483;58166,3652341/12500000;132719347/100000000;0
56405,419290399/100000000,18801;38484;58167,0;1258023/12500000;10718053/50000000
56408,217156087/100000000,18802;38485;58168,522373/6250000;21066901/100000000;0
56411,269551973/100000000,18803;38486;58169,6500951/50000000;0;5040971/12500000
56414,423470877/50000000,18804;38487;58170,1046777/20000000;5957709/25000000;0
56417,233296043/100000000,18805;38488;58171,12851929/100000000;1352151/20000000;0
56420,171117177/25000000,18806;38489;58172,112794869/100000000;19649129/50000000;0
56423,449894591/50000000,18807;38490;58173,177297/500000;0;55476849/50000000
56426,129516557/100000000,18808;38491;58174,20447/3125000;924809/12500000;0
56429,608246201/100000000,18809;38492;58175,102576253/100000000;0;49369743/100000000
56432,1036884829/100000000,18810;38493;58176,52138537/50000000;0;93503763/100000000
56435,891093993/100000000,18811;38494;58177,312513/625000;0;3157889/3125000
56438,318888279/100000000,18812;38495;58178,13748529/50000000;0;58752583/100000000
56441,133437989/25000000,18813;38496;58179,896047/4000000;0;2629033/25000000
56444,31256701/25000000,18814;38497;58180,925397/50000000;8126723/100000000;0
56447,96413969/10000000,18815;38498;58181,123172039/100000000;4979607/12500000;0
56450,142034061/20000000,18816;38499;58182,38671733/100000000;0;10033273/100000000
56453,26816801/20000000,18817;38500;58183,1436039/25000000;0;551797/12500000
56456,837708187/100000000,18818;38501;58184,0;39095527/100000000;89883917/100000000
56459,81179337/20000000,18819;38502;58185,20790431/100000000;0;2221879/100000000
56462,262492619/100000000,18820;38503;58186,2569423/50000000;30078597/100000000;0
56465,87184909/25000000,18821;38504;58187,11251803/100000000;2090953/20000000;0
56468,106036317/20000000,18822;38505;58188,9994931/100000000;79288677/100000000;0
56471,63195089/25000000,18823;38506;58189,3123137/12500000;729049/20000000;0
56474,440557889/50000000,18824;38507;58190,2449897/2500000;0;141483187/100000000
56477,63911607/6250000,18825;38508;58191,1623307/10000000;0;4164251/4000000
56480,162201033/100000000,18826;38509;58192,398391/10000000;693983/50000000;0
56483,342976837/25000000,18827;38510;58193,0;119032451/100000000;38388043/100000000
56486,272977073/50000000,18828;38511;58194,0;910159/10000000;7511131/12500000
56489,285561147/100000000,18829;38512;58195,0;181819/1562500;96599/2500000
56492,275363803/100000000,18830;38513;58196,3744627/20000000;0;894869/5000000
56495,220214381/25000000,18831;38514;58197,13905119/10000000;34228017/100000000;0
56498,228560533/100000000,18832;38515;58198,16142903/100000000;26040323/100000000;0
56501,1186966191/100000000,18833;38516;58199,0;118382733/100000000;19039057/100000000
56504,893139091/100000000,18834;38517;58200,1588111/25000000;0;7388697/10000000
56507,4140471/1562500,18835;38518;58201,0;3051051/100000000;11231209/20000000
56510,854780801/100000000,18836;38519;58202,0;279027/3125000;24081319/12500000
56513,2428767017/100000000,18837;38520;58203,0;179429503/20000000;227029443/100000000
56516,101869161/50000000,18838;38521;58204,0;35879/800000;7379257/100000000
56519,687184911/100000000,18839;38522;58205,0;15337219/100000000;15229097/25000000
56522,126042851/25000000,18840;38523;58206,0;8153419/12500000;11812763/50000000
56525,2200257/1562500,18841;38524;58207,9328743/50000000;5922587/50000000;0
56528,978472223/50000000,18842;38525;58208,70613117/25000000;169228223/100000000;0
56531,8063353/1250000,18843;38526;58209,0;9944403/100000000;266533/3125000
56534,1,18844;38527;58210,9094453/100000000;2108707/20000000;0
56537,1265687853/100000000,18845;38528;58211,0;5373381/5000000;28577313/50000000
56540,171126617/20000000,18846;38529;58212,45229717/50000000;0;142588383/100000000
56543,13277639/2500000,18847;38530;58213,14703509/25000000;0;26002927/50000000
56546,439571223/100000000,18848;38531;58214,333749/800000;0;8214513/50000000
56549,585267449/100000000,18849;38532;58215,45698627/100000000;90711249/100000000;0
56552,151856397/50000000,18850;38533;58216,907203/100000000;32308513/100000000;0
56555,1073292823/100000000,18851;38534;58217,39002913/50000000;149814849/100000000;0
56558,1562783963/100000000,18852;38535;58218,65593101/100000000;6012299/5000000;0
56561,15623733/10000000,18853;38536;58219,0;284107/50000000;28631/50000000
56564,205235153/20000000,18854;38537;58220,2371407/2500000;72731663/100000000;0
56567,97756861/20000000,18855;38538;58221,5466433/25000000;1247403/20000000;0
56570,191015659/100000000,18856;38539;58222,0;15372577/100000000;708429/100000000
56573,81594719/25000000,18857;38540;58223,11023241/100000000;63887/100000000;0
56576,662184609/100000000,18858;38541;58224,23199599/100000000;0;9581849/100000000
56579,31606837/20000000,18859;38542;58225,3065443/25000000;9739233/100000000;0
56582,1553453001/100000000,18860;38543;58226,0;44936093/25000000;22055597/25000000
56585,304482017/25000000,18861;38544;58227,99863249/100000000;0;109364389/50000000
56588,44847379/20000000,18862;38545;58228,16838357/50000000;29246281/100000000;0
56591,558596479/100000000,18863;38546;58229,71312399/100000000;0;107879109/100000000
56594,327880717/50000000,18864;38547;58230,12981459/50000000;0;1059849/12500000
56597,275156657/100000000,18865;38548;58231,9294901/50000000;15214911/50000000;0
56600,100559743/20000000,18866;38549;58232,914117/50000000;14886217/100000000;0
56603,54234281/12500000,18867;38550;58233,0;39799/2500000;32251169/100000000
56606,141915627/100000000,18868;38551;58234,1111807/10000000;8886389/100000000;0
56609,109444027/12500000,18869;38552;58235,58373479/50000000;0;21159399/50000000
56612,1262628701/100000000,18870;38553;58236,0;22119633/12500000;4392361/20000000
56615,16967151/12500000,18871;38554;58237,0;306491/20000000;2535957/20000000
56618,48868131/2500000,18872;38555;58238,119073329/25000000;1212447/10000000;0
56621,633694989/100000000,18873;38556;58239,1779201/6250000;6118813/20000000;0
56624,109612567/25000000,18874;38557;58240,1946327/6250000;0;1791071/4000000
56627,627443273/100000000,18875;38558;58241,1296237/12500000;0;1413173/3125000
56630,381574037/100000000,18876;38559;58242,0;11048651/50000000;25362801/100000000
56633,67397939/25000000,18877;38560;58243,10104149/50000000;0;8081559/50000000
56636,660400501/100000000,18878;38561;58244,0;63682689/100000000;24849189/100000000
56639,319844153/25000000,18879;38562;58245,9451647/6250000;176284863/50000000;0
56642,69905727/50000000,18880;38563;58246,98307/5000000;26649/6250000;0
56645,842930159/100000000,18881;38564;58247,34461/2500000;12888817/100000000;0
56648,86384003/20000000,18882;38565;58248,0;632791/25000000;37801107/100000000
56651,109744553/50000000,18883;38566;58249,8697623/50000000;912127/5000000;0
56654,66825503/25000000,18884;38567;58250,0;14667/4000000;35625503/100000000
56657,389629927/25000000,18885;38568;58251,528765317/100000000;0;1037023/625000
56660,190741811/50000000,18886;38569;58252,27901109/100000000;0;35474877/50000000
56663,806234329/100000000,18887;38570;58253,0;821281/25000000;3254343/6250000
56666,344042697/25000000,18888;38571;58254,0;178685493/100000000;42509389/25000000
56669,29593967/25000000,18889;38572;58255,4124361/100000000;0;3010963/100000000
56672,82154931/20000000,18890;38573;58256,12722923/100000000;12125239/50000000;0
56675,960391097/100000000,18891;38574;58257,0;44413309/50000000;17195503/50000000
56678,369612693/100000000,18892;38575;58258,32464693/25000000;38021329/100000000;0
56681,79445917/25000000,18893;38576;58259,0;3469289/12500000;3966291/100000000
56684,312495071/50000000,18894;38577;58260,19124717/20000000;27370303/50000000;0
56687,11001539/5000000,18895;38578;58261,157037/100000000;0;4106021/50000000
56690,249995031/25000000,18896;38579;58262,237107/500000;0;2891449/12500000
56693,22552617/3125000,18897;38580;58263,0;1790069/25000000;32043231/100000000
56696,31834777/20000000,18898;38581;58264,0;2177363/25000000;4252777/25000000
56699,185111133/25000000,18899;38582;58265,2214761/5000000;1971159/6250000;0
56702,578814389/100000000,18900;38583;58266,165786/390625;37586107/50000000;0
56705,18110533/6250000,18901;38584;58267,52671563/100000000;1336649/5000000;0
56708,519436841/100000000,18902;38585;58268,0;2891177/50000000;10024659/20000000
56711,5018457/1000000,18903;38586;58269,0;2666733/25000000;12669573/100000000
56714,403664843/50000000,18904;38587;58270,39185033/100000000;0;61090273/25000000
56717,615187959/100000000,18905;38588;58271,15493987/100000000;2986037/4000000;0
56720,311879929/25000000,18906;38589;58272,36452803/100000000;5829973/25000000;0
56723,38840471/25000000,18907;38590;58273,6471921/50000000;0;12822917/100000000
56726,1393428791/50000000,18908;38591;58274,182041967/25000000;0;4519497/4000000
56729,688935667/100000000,18909;38592;58275,1299799/3125000;3972531/3125000;0
56732,193596523/100000000,18910;38593;58276,0;3322863/100000000;2171859/12500000
56735,327385839/100000000,18911;38594;58277,5403579/100000000;0;6994717/50000000
56738,463062507/100000000,18912;38595;58278,1711213/10000000;37585057/100000000;0
56741,217127619/100000000,18913;38596;58279,0;1487821/20000000;67161/5000000
56744,2452127787/100000000,18914;38597;58280,769717579/100000000;136052037/100000000;0
56747,320006791/50000000,18915;38598;58281,7468841/25000000;0;61974379/100000000
56750,54479263/20000000,18916;38599;58282,1345917/20000000;0;2845097/25000000
56753,273975251/50000000,18917;38600;58283,7232509/50000000;0;24302277/50000000
56756,527636889/50000000,18918;38601;58284,0;13452237/20000000;2083757/5000000
56759,300437999/100000000,18919;38602;58285,807431/2000000;0;3291173/20000000
56762,194302959/50000000,18920;38603;58286,2391041/10000000;0;15144307/50000000
56765,106134767/25000000,18921;38604;58287,75701/100000000;0;9858809/50000000
56768,83039279/50000000,18922;38605;58288,0;9854517/100000000;7949379/100000000
56771,2595945397/100000000,18923;38606;58289,219350757/100000000;19100769/10000000;0
56774,134421767/12500000,18924;38607;58290,99251889/100000000;0;96247417/100000000
56777,7826783/6250000,18925;38608;58291,2676239/100000000;7139487/100000000;0
56780,234962459/12500000,18926;38609;58292,11481203/100000000;884821/1000000;0
56783,421652073/50000000,18927;38610;58293,11540657/50000000;0;22543651/100000000
56786,654514441/100000000,18928;38611;58294,231347807/100000000;0;27446579/50000000
56789,75688139/20000000,18929;38612;58295,23413699/50000000;6686329/50000000;0
56792,601390787/100000000,18930;38613;58296,83852163/100000000;0;3819549/25000000
56795,267459903/100000000,18931;38614;58297,0;135193/3125000;10781577/25000000
56798,646115007/100000000,18932;38615;58298,0;488459/50000000;22151103/100000000
56801,66334933/3125000,18933;38616;58299,181122707/100000000;0;14452883/6250000
56804,61525621/50000000,18934;38617;58300,121417/12500000;0;1034431/50000000
56807,337584779/25000000,18935;38618;58301,0;20413151/10000000;98790599/100000000
56810,16999871/4000000,18936;38619;58302,91543/3125000;1524557/3125000;0
56813,22006121/5000000,18937;38620;58303,81172911/100000000;10080619/50000000;0
56816,352970309/100000000,18938;38621;58304,1759393/20000000;2306901/100000000;0
56819,102317511/20000000,18939;38622;58305,52421/800000;0;16292423/50000000
56822,169162213/100000000,18940;38623;58306,1217971/100000000;5198219/100000000;0
56825,253240253/25000000,18941;38624;58307,45366861/50000000;8298773/50000000;0
56828,41124177/4000000,18942;38625;58308,92856527/100000000;0;40188063/50000000
56831,18563771/12500000,18943;38626;58309,15615923/100000000;0;461511/5000000
56834,107321551/20000000,18944;38627;58310,0;9256141/100000000;30634943/100000000
56837,97936723/10000000,18945;38628;58311,5919017/6250000;21732981/10000000;0
56840,150092243/50000000,18946;38629;58312,26513197/100000000;6534193/50000000;0
56843,2921591/800000,18947;38630;58313,0;9660577/25000000;16750357/100000000
56846,260257901/50000000,18948;38631;58314,12444139/50000000;0;5939363/100000000
56849,6052181/5000000,18949;38632;58315,627057/25000000;1451901/100000000;0
56852,441434209/25000000,18950;38633;58316,0;25337733/6250000;23810813/20000000
56855,1258597703/100000000,18951;38634;58317,20559981/50000000;263785737/100000000;0
56858,131331557/100000000,18952;38635;58318,339619/10000000;0;1715319/20000000
56861,1025868231/50000000,18953;38636;58319,47998507/25000000;0;14714981/6250000
56864,408178193/50000000,18954;38637;58320,62493533/100000000;0;125956587/100000000
56867,267592543/100000000,18955;38638;58321,1574173/25000000;521471/6250000;0
56870,94881867/20000000,18956;38639;58322,16939859/50000000;509009/4000000;0
56873,114052193/25000000,18957;38640;58323,3854933/20000000;0;2336017/10000000
56876,183928347/100000000,18958;38641;58324,0;7245001/50000000;20188153/100000000
56879,153888529/25000000,18959;38642;58325,4005519/5000000;16939901/50000000;0
56882,982993203/100000000,18960;38643;58326,0;17320543/50000000;551821/1562500
56885,163149107/100000000,18961;38644;58327,3685773/100000000;1343059/50000000;0
56888,466046789/50000000,18962;38645;58328,56933109/100000000;0;95619539/100000000
56891,319053659/50000000,18963;38646;58329,0;42954159/50000000;45569439/100000000
56894,276931589/100000000,18964;38647;58330,31052327/100000000;170667/2000000;0
56897,35496231/12500000,18965;38648;58331,170551/5000000;1669989/4000000;0
56900,154139869/25000000,18966;38649;58332,11107751/12500000;3116481/100000000;0
56903,212049747/100000000,18967;38650;58333,0;16707479/100000000;25346109/100000000
56906,51028669/6250000,18968;38651;58334,0;9489237/20000000;25340367/100000000
56909,828670981/100000000,18969;38652;58335,8999209/50000000;0;89780539/100000000
56912,38431131/25000000,18970;38653;58336,5423001/50000000;0;157761/20000000
56915,372787459/100000000,18971;38654;58337,55245423/100000000;0;28229637/100000000
56918,19369623/3125000,18972;38655;58338,0;31805663/100000000;33959779/100000000
56921,153052967/50000000,18973;38656;58339,2867939/10000000;15682133/100000000;0
56924,126684451/25000000,18974;38657;58340,6481961/25000000;0;16681201/50000000
56927,97409809/20000000,18975;38658;58341,10983539/25000000;12260717/50000000;0
56930,11296007/4000000,18976;38659;58342,3621717/10000000;0;47553261/50000000
56933,581176157/50000000,18977;38660;58343,0;59947717/50000000;80740907/100000000
56936,918195321/100000000,18978;38661;58344,5007819/25000000;126827527/100000000;0
56939,241146579/100000000,18979;38662;58345,12133177/100000000;922283/2000000;0
56942,695905913/100000000,18980;38663;58346,0;88390511/100000000;69474403/100000000
56945,67369669/12500000,18981;38664;58347,5222689/20000000;0;709279/100000000
56948,352837483/100000000,18982;38665;58348,4168841/12500000;0;5886867/50000000
56951,469013411/100000000,18983;38666;58349,0;33346001/100000000;2122419/50000000
56954,158534813/25000000,18984;38667;58350,38494101/100000000;3374779/6250000;0
56957,287545723/100000000,18985;38668;58351,20461267/100000000;15435409/25000000;0
56960,46052993/5000000,18986;38669;58352,96570147/50000000;0;39445143/100000000
56963,523546769/50000000,18987;38670;58353,25660633/100000000;0;22599223/20000000
56966,34490259/10000000,18988;38671;58354,0;49992343/50000000;3205617/20000000
56969,226446123/12500000,18989;38672;58355,0;92982563/25000000;7989459/12500000
56972,249555121/50000000,18990;38673;58356,0;26569423/100000000;1655583/100000000
56975,204983597/100000000,18991;38674;58357,28087077/100000000;0;6725411/100000000
56978,72577559/25000000,18992;38675;58358,20378659/100000000;0;8634423/50000000
