source_id,source,branch,target_id,target,weight_decimal,weight_formula,multiplicity,rule_derived
250,d5:r83:peven:b1,advanced_rebased_return,408,d5:r136:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
250,d5:r83:peven:b1,advanced_rebased_return,651,d5:r217:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
251,d5:r83:peven:b2,retarded_return,269,d5:r89:peven:b2,0.308641975308642,rho_star^(-2),1,yes
251,d5:r83:peven:b2,advanced_rebased_return,165,d5:r55:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
251,d5:r83:peven:b2,advanced_rebased_return,408,d5:r136:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
251,d5:r83:peven:b2,advanced_rebased_return,651,d5:r217:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
252,d5:r84:podd:b0,retarded_return,281,d5:r93:peven:b2,0.308641975308642,rho_star^(-2),1,yes
253,d5:r84:peven:b1,retarded_return,281,d5:r93:peven:b2,0.308641975308642,rho_star^(-2),1,yes
254,d5:r84:peven:b2,retarded_return,281,d5:r93:peven:b2,0.308641975308642,rho_star^(-2),1,yes
255,d5:r85:podd:b0,retarded_return,293,d5:r97:peven:b2,0.308641975308642,rho_star^(-2),1,yes
256,d5:r85:peven:b1,retarded_return,293,d5:r97:peven:b2,0.308641975308642,rho_star^(-2),1,yes
257,d5:r85:peven:b2,retarded_return,293,d5:r97:peven:b2,0.308641975308642,rho_star^(-2),1,yes
258,d5:r86:podd:b0,retarded_return,305,d5:r101:peven:b2,0.308641975308642,rho_star^(-2),1,yes
258,d5:r86:podd:b0,advanced_rebased_return,171,d5:r57:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
258,d5:r86:podd:b0,advanced_rebased_return,414,d5:r138:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
258,d5:r86:podd:b0,advanced_rebased_return,657,d5:r219:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
259,d5:r86:peven:b1,retarded_return,305,d5:r101:peven:b2,0.308641975308642,rho_star^(-2),1,yes
