source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
443,d5:r27:peven:b2,retarded,d5:r108:peven:b2,686,1,VISIBLE,yes
444,d5:r28:podd:b0,retarded,d5:r112:peven:b2,698,1,VISIBLE,yes
445,d5:r28:peven:b1,retarded,d5:r112:peven:b2,698,1,VISIBLE,yes
446,d5:r28:peven:b2,retarded,d5:r112:peven:b2,698,1,VISIBLE,yes
447,d5:r29:podd:b0,retarded,d5:r116:peven:b2,710,1,VISIBLE,yes
447,d5:r29:podd:b0,advanced,d4:r19:podd:b0,174,1/1,VISIBLE,yes
448,d5:r29:peven:b1,retarded,d5:r116:peven:b2,710,1,VISIBLE,yes
448,d5:r29:peven:b1,advanced,d4:r19:podd:b0,174,1/1,VISIBLE,yes
449,d5:r29:peven:b2,retarded,d5:r116:peven:b2,710,1,VISIBLE,yes
449,d5:r29:peven:b2,advanced,d4:r19:podd:b0,174,1/1,VISIBLE,yes
450,d5:r30:podd:b0,retarded,d5:r120:peven:b2,722,1,VISIBLE,yes
451,d5:r30:peven:b1,retarded,d5:r120:peven:b2,722,1,VISIBLE,yes
452,d5:r30:peven:b2,retarded,d5:r120:peven:b2,722,1,VISIBLE,yes
453,d5:r31:podd:b0,retarded,d5:r124:peven:b2,734,1,VISIBLE,yes
454,d5:r31:peven:b1,retarded,d5:r124:peven:b2,734,1,VISIBLE,yes
455,d5:r31:peven:b2,retarded,d5:r124:peven:b2,734,1,VISIBLE,yes
456,d5:r32:podd:b0,retarded,d5:r128:peven:b2,746,1,VISIBLE,yes
456,d5:r32:podd:b0,advanced,d4:r21:podd:b0,180,1/1,VISIBLE,yes
457,d5:r32:peven:b1,retarded,d5:r128:peven:b2,746,1,VISIBLE,yes
457,d5:r32:peven:b1,advanced,d4:r21:podd:b0,180,1/1,VISIBLE,yes
458,d5:r32:peven:b2,retarded,d5:r128:peven:b2,746,1,VISIBLE,yes
458,d5:r32:peven:b2,advanced,d4:r21:podd:b0,180,1/1,VISIBLE,yes
459,d5:r33:podd:b0,retarded,d5:r132:peven:b2,758,1,VISIBLE,yes
460,d5:r33:peven:b1,retarded,d5:r132:peven:b2,758,1,VISIBLE,yes
461,d5:r33:peven:b2,retarded,d5:r132:peven:b2,758,1,VISIBLE,yes
462,d5:r34:podd:b0,retarded,d5:r136:peven:b2,770,1,VISIBLE,yes
463,d5:r34:peven:b1,retarded,d5:r136:peven:b2,770,1,VISIBLE,yes
464,d5:r34:peven:b2,retarded,d5:r136:peven:b2,770,1,VISIBLE,yes
465,d5:r35:podd:b0,retarded,d5:r140:peven:b2,782,1,VISIBLE,yes
465,d5:r35:podd:b0,advanced,d4:r23:podd:b0,186,1/1,VISIBLE,yes
466,d5:r35:peven:b1,retarded,d5:r140:peven:b2,782,1,VISIBLE,yes
466,d5:r35:peven:b1,advanced,d4:r23:podd:b0,186,1/1,VISIBLE,yes
467,d5:r35:peven:b2,retarded,d5:r140:peven:b2,782,1,VISIBLE,yes
467,d5:r35:peven:b2,advanced,d4:r23:podd:b0,186,1/1,VISIBLE,yes
468,d5:r36:podd:b0,retarded,d5:r144:peven:b2,794,1,VISIBLE,yes
469,d5:r36:peven:b1,retarded,d5:r144:peven:b2,794,1,VISIBLE,yes
470,d5:r36:peven:b2,retarded,d5:r144:peven:b2,794,1,VISIBLE,yes
471,d5:r37:podd:b0,retarded,d5:r148:peven:b2,806,1,VISIBLE,yes
472,d5:r37:peven:b1,retarded,d5:r148:peven:b2,806,1,VISIBLE,yes
473,d5:r37:peven:b2,retarded,d5:r148:peven:b2,806,1,VISIBLE,yes
474,d5:r38:podd:b0,retarded,d5:r152:peven:b2,818,1,VISIBLE,yes
474,d5:r38:podd:b0,advanced,d4:r25:podd:b0,192,1/1,VISIBLE,yes
475,d5:r38:peven:b1,retarded,d5:r152:peven:b2,818,1,VISIBLE,yes
475,d5:r38:peven:b1,advanced,d4:r25:podd:b0,192,1/1,VISIBLE,yes
476,d5:r38:peven:b2,retarded,d5:r152:peven:b2,818,1,VISIBLE,yes
476,d5:r38:peven:b2,advanced,d4:r25:podd:b0,192,1/1,VISIBLE,yes
477,d5:r39:podd:b0,retarded,d5:r156:peven:b2,830,1,VISIBLE,yes
478,d5:r39:peven:b1,retarded,d5:r156:peven:b2,830,1,VISIBLE,yes
479,d5:r39:peven:b2,retarded,d5:r156:peven:b2,830,1,VISIBLE,yes
480,d5:r40:podd:b0,retarded,d5:r160:peven:b2,842,1,VISIBLE,yes
481,d5:r40:peven:b1,retarded,d5:r160:peven:b2,842,1,VISIBLE,yes
482,d5:r40:peven:b2,retarded,d5:r160:peven:b2,842,1,VISIBLE,yes
483,d5:r41:podd:b0,retarded,d5:r164:peven:b2,854,1,VISIBLE,yes
483,d5:r41:podd:b0,advanced,d4:r27:podd:b0,198,1/1,VISIBLE,yes
484,d5:r41:peven:b1,retarded,d5:r164:peven:b2,854,1,VISIBLE,yes
484,d5:r41:peven:b1,advanced,d4:r27:podd:b0,198,1/1,VISIBLE,yes
485,d5:r41:peven:b2,retarded,d5:r164:peven:b2,854,1,VISIBLE,yes
485,d5:r41:peven:b2,advanced,d4:r27:podd:b0,198,1/1,VISIBLE,yes
486,d5:r42:podd:b0,retarded,d5:r168:peven:b2,866,1,VISIBLE,yes
487,d5:r42:peven:b1,retarded,d5:r168:peven:b2,866,1,VISIBLE,yes
488,d5:r42:peven:b2,retarded,d5:r168:peven:b2,866,1,VISIBLE,yes
489,d5:r43:podd:b0,retarded,d5:r172:peven:b2,878,1,VISIBLE,yes
490,d5:r43:peven:b1,retarded,d5:r172:peven:b2,878,1,VISIBLE,yes
491,d5:r43:peven:b2,retarded,d5:r172:peven:b2,878,1,VISIBLE,yes
492,d5:r44:podd:b0,retarded,d5:r176:peven:b2,890,1,VISIBLE,yes
492,d5:r44:podd:b0,advanced,d4:r29:podd:b0,204,1/1,VISIBLE,yes
493,d5:r44:peven:b1,retarded,d5:r176:peven:b2,890,1,VISIBLE,yes
493,d5:r44:peven:b1,advanced,d4:r29:podd:b0,204,1/1,VISIBLE,yes
494,d5:r44:peven:b2,retarded,d5:r176:peven:b2,890,1,VISIBLE,yes
494,d5:r44:peven:b2,advanced,d4:r29:podd:b0,204,1/1,VISIBLE,yes
495,d5:r45:podd:b0,retarded,d5:r180:peven:b2,902,1,VISIBLE,yes
496,d5:r45:peven:b1,retarded,d5:r180:peven:b2,902,1,VISIBLE,yes
497,d5:r45:peven:b2,retarded,d5:r180:peven:b2,902,1,VISIBLE,yes
