phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,5186,3457,6914,10,5310464,5309952,5199,4370,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5294,3529,7058,8,1355264,1355136,714,562,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5294,3529,7058,9,2710528,2710272,1402,1088,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5294,3529,7058,10,5421056,5420544,2753,2195,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5402,3601,7202,8,1382912,1382784,4099,3882,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5402,3601,7202,9,2765824,2765568,8271,7907,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5402,3601,7202,10,5531648,5531136,16250,15497,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5510,3673,7346,8,1410560,1410432,1028,821,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5510,3673,7346,9,2821120,2820864,2173,1625,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5510,3673,7346,10,5642240,5641728,4329,3274,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5618,3745,7490,8,1438208,1438080,541,425,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5618,3745,7490,9,2876416,2876160,1051,850,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5618,3745,7490,10,5752832,5752320,2089,1728,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5726,3817,7634,8,1465856,1465728,2502,2310,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5726,3817,7634,9,2931712,2931456,5432,5036,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5726,3817,7634,10,5863424,5862912,10497,9739,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5834,3889,7778,8,1493504,1493376,2527,1701,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5834,3889,7778,9,2987008,2986752,4922,3286,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5834,3889,7778,10,5974016,5973504,9852,6666,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5942,3961,7922,8,1521152,1521024,723,542,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5942,3961,7922,9,3042304,3042048,1360,994,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5942,3961,7922,10,6084608,6084096,2666,2007,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6050,4033,8066,8,1548800,1548672,1368,1069,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6050,4033,8066,9,3097600,3097344,2611,2020,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6050,4033,8066,10,6195200,6194688,5557,3976,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6158,4105,8210,8,1576448,1576320,1135,886,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6158,4105,8210,9,3152896,3152640,2079,1613,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6158,4105,8210,10,6305792,6305280,4296,3155,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6266,4177,8354,8,1604096,1603968,660,555,True,True,True,True,True,True,True,True
