mode,row_kind,retarded_mode,auxiliary_mode,target,slack
4802,D2,19208,,165680953/100000000,1203711567487/496475252100000000
4805,D3,19220,3203,33812051/4000000,20492279956353793393225776679/1654917507000000000000000000000000
4808,D1,19232,6410,79893589/20000000,45366939022986377314207/7757425814062500000000000000
4811,D2,19244,,202239583/100000000,1469254761257/496475252100000000
4814,D3,19256,3209,408950433/100000000,14847301760038099933761509557/2482376260500000000000000000000000
4817,D1,19268,6422,116505537/25000000,423512412383336774426897/62059406512500000000000000000
4820,D2,19280,,64906447/50000000,471227597113/248237626050000000
4823,D3,19292,3215,314736307/25000000,30503088494202675699025760863/1654917507000000000000000000000000
4826,D1,19304,6434,299903727/50000000,109060415303264142841217/12411881302500000000000000000
4829,D2,19316,,52157721/25000000,42130626151/13790979225000000
4832,D3,19328,3221,270821381/50000000,19687897636664714789762954621/2482376260500000000000000000000000
4835,D1,19340,6446,700224011/100000000,318221172805945238669713/31029703256250000000000000000
4838,D2,19352,,194170079/100000000,471327326947/165491750700000000
4841,D3,19364,3227,99559221/25000000,1072760688944468113816126261/183879723000000000000000000000000
4844,D1,19376,6458,676491591/100000000,512465453204162257721/51716172093750000000000000
4847,D2,19388,,30064231/25000000,218550823649/124118813025000000
4850,D3,19400,3233,200863529/25000000,3649673116925519064563423959/310297032562500000000000000000000
4853,D1,19412,6470,318490051/20000000,160766874214952054446219/6895489612500000000000000000
4856,D2,19424,,131040659/100000000,954676248661/496475252100000000
4859,D3,19436,3239,1024849903/100000000,4137456029715666819448532389/275819584500000000000000000000000
4862,D1,19448,6482,333742471/50000000,5391074220561491422811/551639169000000000000000000
4865,D2,19460,,308185073/100000000,27648008407/6129324100000000
4868,D3,19472,3245,431344321/100000000,6273856951273296536375303173/992950504200000000000000000000000
4871,D1,19484,6494,39226487/10000000,28526406641618829856403/4964752521000000000000000000
4874,D2,19496,,17638971/5000000,128259904109/24823762605000000
4877,D3,19508,3251,341658453/50000000,8287394464990644850756641889/827458753500000000000000000000000
