phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,11,2,7,839,559,1118,10,859136,858624,2366,1551,True,True,True,True,True,True,True,True
calibration,36,2,20,0,0,20,13,26,8,5120,4992,3004,1393,True,True,True,True,True,True,True,True
calibration,36,2,20,0,0,20,13,26,9,10240,9984,5789,2691,True,True,True,True,True,True,True,True
calibration,36,2,20,0,0,20,13,26,10,20480,19968,11498,5329,True,True,True,True,True,True,True,True
calibration,36,2,20,0,1,128,85,170,8,32768,32640,1231,515,True,True,True,True,True,True,True,True
calibration,36,2,20,0,1,128,85,170,9,65536,65280,2497,1050,True,True,True,True,True,True,True,True
calibration,36,2,20,0,1,128,85,170,10,131072,130560,5050,2031,True,True,True,True,True,True,True,True
calibration,36,2,20,0,2,236,157,314,8,60416,60288,2153,1588,True,True,True,True,True,True,True,True
calibration,36,2,20,0,2,236,157,314,9,120832,120576,4144,3100,True,True,True,True,True,True,True,True
calibration,36,2,20,0,2,236,157,314,10,241664,241152,10368,8351,True,True,True,True,True,True,True,True
calibration,36,2,20,0,3,344,229,458,8,88064,87936,3328,678,True,True,True,True,True,True,True,True
calibration,36,2,20,0,3,344,229,458,9,176128,175872,7166,1852,True,True,True,True,True,True,True,True
calibration,36,2,20,0,3,344,229,458,10,352256,351744,14751,3536,True,True,True,True,True,True,True,True
calibration,36,2,20,0,4,452,301,602,8,115712,115584,1502,621,True,True,True,True,True,True,True,True
calibration,36,2,20,0,4,452,301,602,9,231424,231168,2932,1221,True,True,True,True,True,True,True,True
calibration,36,2,20,0,4,452,301,602,10,462848,462336,5899,2388,True,True,True,True,True,True,True,True
calibration,36,2,20,0,5,560,373,746,8,143360,143232,1340,1122,True,True,True,True,True,True,True,True
calibration,36,2,20,0,5,560,373,746,9,286720,286464,2627,2213,True,True,True,True,True,True,True,True
calibration,36,2,20,0,5,560,373,746,10,573440,572928,5510,4730,True,True,True,True,True,True,True,True
calibration,36,2,20,0,6,668,445,890,8,171008,170880,33950,33219,True,True,True,True,True,True,True,True
calibration,36,2,20,0,6,668,445,890,9,342016,341760,67656,66066,True,True,True,True,True,True,True,True
calibration,36,2,20,0,6,668,445,890,10,684032,683520,134830,131701,True,True,True,True,True,True,True,True
calibration,36,2,20,0,7,776,517,1034,8,198656,198528,2792,1012,True,True,True,True,True,True,True,True
calibration,36,2,20,0,7,776,517,1034,9,397312,397056,6262,2689,True,True,True,True,True,True,True,True
calibration,36,2,20,0,7,776,517,1034,10,794624,794112,13148,5093,True,True,True,True,True,True,True,True
