source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
159,d5:r53:podd:b0,,retarded,638,d5:r212:peven:b2,3.086419753086419582e-01,1
159,d5:r53:podd:b0,0,advanced_direct_c2,105,d5:r35:podd:b0,4.701144368401899420e-01,1/3
159,d5:r53:podd:b0,1,advanced_direct_c2,591,d5:r197:podd:b0,4.701144368401899420e-01,1/3
159,d5:r53:podd:b0,2,advanced_direct_c2,348,d5:r116:podd:b0,4.701144368401899420e-01,1/3
160,d5:r53:peven:b1,,retarded,638,d5:r212:peven:b2,3.086419753086419582e-01,1
160,d5:r53:peven:b1,0,advanced_direct_c2,105,d5:r35:podd:b0,4.701144368401899420e-01,1/3
160,d5:r53:peven:b1,1,advanced_direct_c2,591,d5:r197:podd:b0,4.701144368401899420e-01,1/3
160,d5:r53:peven:b1,2,advanced_direct_c2,348,d5:r116:podd:b0,4.701144368401899420e-01,1/3
161,d5:r53:peven:b2,,retarded,638,d5:r212:peven:b2,3.086419753086419582e-01,1
161,d5:r53:peven:b2,0,advanced_direct_c2,105,d5:r35:podd:b0,4.701144368401899420e-01,1/3
161,d5:r53:peven:b2,1,advanced_direct_c2,591,d5:r197:podd:b0,4.701144368401899420e-01,1/3
161,d5:r53:peven:b2,2,advanced_direct_c2,348,d5:r116:podd:b0,4.701144368401899420e-01,1/3
162,d5:r54:podd:b0,,retarded,650,d5:r216:peven:b2,3.086419753086419582e-01,1
163,d5:r54:peven:b1,,retarded,650,d5:r216:peven:b2,3.086419753086419582e-01,1
164,d5:r54:peven:b2,,retarded,650,d5:r216:peven:b2,3.086419753086419582e-01,1
165,d5:r55:podd:b0,,retarded,662,d5:r220:peven:b2,3.086419753086419582e-01,1
166,d5:r55:peven:b1,,retarded,662,d5:r220:peven:b2,3.086419753086419582e-01,1
167,d5:r55:peven:b2,,retarded,662,d5:r220:peven:b2,3.086419753086419582e-01,1
168,d5:r56:podd:b0,,retarded,674,d5:r224:peven:b2,3.086419753086419582e-01,1
168,d5:r56:podd:b0,0,advanced_parity_lift_c1,223,d5:r74:peven:b1,2.611746871334388875e-01,1/3
168,d5:r56:podd:b0,1,advanced_parity_lift_c1,466,d5:r155:peven:b1,2.611746871334388875e-01,1/3
168,d5:r56:podd:b0,2,advanced_parity_lift_c1,709,d5:r236:peven:b1,2.611746871334388875e-01,1/3
169,d5:r56:peven:b1,,retarded,674,d5:r224:peven:b2,3.086419753086419582e-01,1
169,d5:r56:peven:b1,0,advanced_parity_lift_c1,223,d5:r74:peven:b1,2.611746871334388875e-01,1/3
169,d5:r56:peven:b1,1,advanced_parity_lift_c1,466,d5:r155:peven:b1,2.611746871334388875e-01,1/3
169,d5:r56:peven:b1,2,advanced_parity_lift_c1,709,d5:r236:peven:b1,2.611746871334388875e-01,1/3
170,d5:r56:peven:b2,,retarded,674,d5:r224:peven:b2,3.086419753086419582e-01,1
170,d5:r56:peven:b2,0,advanced_parity_lift_c1,223,d5:r74:peven:b1,2.611746871334388875e-01,1/3
170,d5:r56:peven:b2,1,advanced_parity_lift_c1,466,d5:r155:peven:b1,2.611746871334388875e-01,1/3
170,d5:r56:peven:b2,2,advanced_parity_lift_c1,709,d5:r236:peven:b1,2.611746871334388875e-01,1/3
171,d5:r57:podd:b0,,retarded,686,d5:r228:peven:b2,3.086419753086419582e-01,1
172,d5:r57:peven:b1,,retarded,686,d5:r228:peven:b2,3.086419753086419582e-01,1
173,d5:r57:peven:b2,,retarded,686,d5:r228:peven:b2,3.086419753086419582e-01,1
174,d5:r58:podd:b0,,retarded,698,d5:r232:peven:b2,3.086419753086419582e-01,1
175,d5:r58:peven:b1,,retarded,698,d5:r232:peven:b2,3.086419753086419582e-01,1
176,d5:r58:peven:b2,,retarded,698,d5:r232:peven:b2,3.086419753086419582e-01,1
177,d5:r59:podd:b0,,retarded,710,d5:r236:peven:b2,3.086419753086419582e-01,1
178,d5:r59:peven:b1,,retarded,710,d5:r236:peven:b2,3.086419753086419582e-01,1
179,d5:r59:peven:b2,,retarded,710,d5:r236:peven:b2,3.086419753086419582e-01,1
180,d5:r60:podd:b0,,retarded,722,d5:r240:peven:b2,3.086419753086419582e-01,1
181,d5:r60:peven:b1,,retarded,722,d5:r240:peven:b2,3.086419753086419582e-01,1
182,d5:r60:peven:b2,,retarded,722,d5:r240:peven:b2,3.086419753086419582e-01,1
183,d5:r61:podd:b0,,retarded,5,d5:r1:peven:b2,3.086419753086419582e-01,1
184,d5:r61:peven:b1,,retarded,5,d5:r1:peven:b2,3.086419753086419582e-01,1
185,d5:r61:peven:b2,,retarded,5,d5:r1:peven:b2,3.086419753086419582e-01,1
186,d5:r62:podd:b0,,retarded,17,d5:r5:peven:b2,3.086419753086419582e-01,1
186,d5:r62:podd:b0,0,advanced_direct_c2,123,d5:r41:podd:b0,4.701144368401899420e-01,1/3
186,d5:r62:podd:b0,1,advanced_direct_c2,609,d5:r203:podd:b0,4.701144368401899420e-01,1/3
186,d5:r62:podd:b0,2,advanced_direct_c2,366,d5:r122:podd:b0,4.701144368401899420e-01,1/3
187,d5:r62:peven:b1,,retarded,17,d5:r5:peven:b2,3.086419753086419582e-01,1
187,d5:r62:peven:b1,0,advanced_direct_c2,123,d5:r41:podd:b0,4.701144368401899420e-01,1/3
187,d5:r62:peven:b1,1,advanced_direct_c2,609,d5:r203:podd:b0,4.701144368401899420e-01,1/3
