component_id,size,spectral_radius_decimal,is_sink
275,1,0.000000000000000000e+00,no
276,1,0.000000000000000000e+00,no
277,1,0.000000000000000000e+00,no
278,1,0.000000000000000000e+00,no
279,1,0.000000000000000000e+00,no
280,1,0.000000000000000000e+00,no
281,1,0.000000000000000000e+00,no
282,1,0.000000000000000000e+00,no
283,1,0.000000000000000000e+00,no
284,1,0.000000000000000000e+00,no
285,1,0.000000000000000000e+00,no
286,1,0.000000000000000000e+00,no
287,1,0.000000000000000000e+00,no
288,1,0.000000000000000000e+00,no
289,1,0.000000000000000000e+00,no
290,1,0.000000000000000000e+00,no
291,3,3.086419753086420137e-01,yes
292,1,0.000000000000000000e+00,no
293,1,0.000000000000000000e+00,no
294,1,0.000000000000000000e+00,no
295,1,0.000000000000000000e+00,no
296,1,0.000000000000000000e+00,no
297,1,0.000000000000000000e+00,no
298,1,0.000000000000000000e+00,no
299,1,0.000000000000000000e+00,no
300,1,0.000000000000000000e+00,no
301,1,0.000000000000000000e+00,no
302,1,0.000000000000000000e+00,no
303,1,0.000000000000000000e+00,no
304,9,3.086419753086424578e-01,yes
305,1,0.000000000000000000e+00,no
306,1,0.000000000000000000e+00,no
307,1,0.000000000000000000e+00,no
308,1,0.000000000000000000e+00,no
309,1,0.000000000000000000e+00,no
310,1,0.000000000000000000e+00,no
311,1,0.000000000000000000e+00,no
312,1,0.000000000000000000e+00,no
313,1,0.000000000000000000e+00,no
314,1,0.000000000000000000e+00,no
315,1,0.000000000000000000e+00,no
316,1,0.000000000000000000e+00,no
317,9,3.086419753086424578e-01,yes
318,1,0.000000000000000000e+00,no
319,1,0.000000000000000000e+00,no
320,1,0.000000000000000000e+00,no
321,1,0.000000000000000000e+00,no
322,27,3.086419753086424578e-01,yes
323,1,0.000000000000000000e+00,no
324,1,0.000000000000000000e+00,no
325,1,0.000000000000000000e+00,no
326,1,0.000000000000000000e+00,no
327,27,3.086419753086424578e-01,yes
328,243,1.039931099282271454e+00,yes
329,1,0.000000000000000000e+00,no
330,1,0.000000000000000000e+00,no
331,81,3.086419753086440676e-01,yes
332,1,0.000000000000000000e+00,no
333,1,0.000000000000000000e+00,no
334,1,3.086419753086419582e-01,yes
