core_local_id,state_id,state,residue_mod_9,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
100,304,d5:r101:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
101,305,d5:r101:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
102,312,d5:r104:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
103,313,d5:r104:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
104,314,d5:r104:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
105,321,d5:r107:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
106,322,d5:r107:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
107,323,d5:r107:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
108,330,d5:r110:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
109,331,d5:r110:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
110,332,d5:r110:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
111,339,d5:r113:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
112,340,d5:r113:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
113,341,d5:r113:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
114,348,d5:r116:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
115,349,d5:r116:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
116,350,d5:r116:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
117,357,d5:r119:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
118,358,d5:r119:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
119,359,d5:r119:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
120,366,d5:r122:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
121,367,d5:r122:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
122,368,d5:r122:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
123,375,d5:r125:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
124,376,d5:r125:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
